,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,24,TL,1546826912,90,-8.93,125.41,25.36,0.61
1,high level,92,CA,1546826894,52,58.52,-117.13,-15.85,3.56
2,anadyr,20,RU,1546822800,65,64.73,177.51,-13,19
3,bubaque,48,GW,1546826913,100,11.28,-15.83,25.53,1.36
4,san patricio,44,PY,1546826913,78,-26.98,-56.83,27.78,3.76
5,mataura,88,NZ,1546826914,66,-46.19,168.86,17.88,9.06
6,alta floresta,88,BR,1546826914,98,-9.87,-56.08,24.01,0.96
7,albany,20,US,1546826040,39,42.65,-73.75,-3.3,6.7
8,saint-philippe,75,CA,1546824900,62,45.36,-73.48,-9,3.6
9,zyryanovsk,0,KZ,1546826915,55,49.74,84.27,-24.72,0.91
10,hilo,90,US,1546822380,57,19.71,-155.08,25.6,3.1
11,butaritari,24,KI,1546826916,100,3.07,172.79,28.43,7.46
12,tasiilaq,0,GL,1546822200,52,65.61,-37.64,-9,2.1
13,taolanaro,,,,,,,,
14,lavrentiya,0,RU,1546826917,82,65.58,-170.99,-15.72,8.56
15,barrow,48,AR,1546826917,75,-38.31,-60.23,17.91,4.46
16,punta arenas,40,CL,1546822800,100,-53.16,-70.91,7,4.1
17,hermanus,0,ZA,1546826918,95,-34.42,19.24,10.63,1.41
18,nadym,64,RU,1546826918,74,65.53,72.51,-17.72,4.86
19,ancud,90,CL,1546822800,76,-41.87,-73.83,11,2.1
20,ushuaia,75,AR,1546822800,69,-54.81,-68.31,4,10.3
21,roald,24,NO,1546825800,65,62.58,6.12,5,4.1
22,georgetown,75,GY,1546822800,83,6.8,-58.16,27,6.2
23,avarua,75,CK,1546826400,69,-21.21,-159.78,27,5.7
24,souillac,90,FR,1546824600,80,45.6,-0.6,4,1.5
25,carnarvon,44,ZA,1546826920,33,-30.97,22.13,16.48,4.66
26,waipawa,0,NZ,1546826921,52,-39.94,176.59,25.43,7.81
27,puerto madryn,48,AR,1546826921,61,-42.77,-65.04,20.36,6.21
28,rikitea,100,PF,1546826921,100,-23.12,-134.97,25.83,5.06
29,nguiu,,,,,,,,
30,port elizabeth,1,US,1546826160,50,39.31,-74.98,6.1,3.1
31,busselton,0,AU,1546826922,75,-33.64,115.35,24.68,7.16
32,lagoa,0,PT,1546824600,65,37.14,-8.45,8,3.1
33,jamestown,80,AU,1546826924,35,-33.21,138.6,25.78,2.51
34,abu kamal,0,SY,1546826924,63,34.45,40.92,8.01,6.36
35,ustrzyki dolne,76,UA,1546826924,91,49.43,22.59,-7.92,3.66
36,haibowan,,,,,,,,
37,lebu,20,ET,1546822800,39,8.96,38.73,9,1
38,bluff,48,AU,1546826925,38,-23.58,149.07,33.01,5.61
39,illoqqortoormiut,,,,,,,,
40,thompson,75,CA,1546822800,84,55.74,-97.86,-15,2.1
41,meylan,90,FR,1546824600,86,45.21,5.78,4,5.7
42,sentyabrskiy,,,,,,,,
43,puerto narino,20,CO,1546822800,100,-3.77,-70.38,24,1.96
44,lorengau,48,PG,1546826927,100,-2.02,147.27,28.23,5.96
45,tuktoyaktuk,90,CA,1546822800,77,69.44,-133.03,-19,3.1
46,kruisfontein,12,ZA,1546826927,87,-34,24.73,15.93,4.11
47,kabanjahe,75,ID,1546822800,94,3.1,98.49,25,0.76
48,bolungarvik,,,,,,,,
49,kodiak,1,US,1546826100,69,39.95,-94.76,13.3,8.7
50,mao,40,DO,1546826400,94,19.55,-71.08,24,3.1
51,yellowknife,20,CA,1546822800,76,62.45,-114.38,-22,5.7
52,omsukchan,68,RU,1546826929,34,62.53,155.8,-31.65,1.06
53,san policarpo,48,PH,1546826929,88,12.18,125.51,27.16,6.81
54,nikolskoye,90,RU,1546824600,79,59.7,30.79,-4,4
55,kyshtovka,80,RU,1546826933,82,56.56,76.62,-13.32,5.46
56,constitucion,90,MX,1546825860,29,23.99,-104.67,16,3.1
57,kankan,48,GN,1546826934,46,10.38,-9.3,17.76,2.41
58,new norfolk,20,AU,1546824600,40,-42.78,147.06,21,5.1
59,arman,20,RU,1546826935,58,59.7,150.17,-17.12,6.36
60,cockburn town,0,TC,1546826890,99,21.46,-71.14,26.16,7.01
61,palabuhanratu,,,,,,,,
62,cidreira,36,BR,1546826936,85,-30.17,-50.22,24.38,6.61
63,olafsvik,,,,,,,,
64,amderma,,,,,,,,
65,magalia,90,US,1546825980,86,39.81,-121.58,8.3,4.1
66,gujrat,0,PK,1546826400,100,32.57,74.07,5,1.96
67,nyrob,56,RU,1546826940,75,60.74,56.73,-13.65,3.56
68,bilibino,36,RU,1546826940,0,68.06,166.44,-35.1,1.91
69,wangaratta,0,AU,1546822800,34,-36.36,146.32,29,1.5
70,acajutla,0,SV,1546822200,50,13.59,-89.83,25,2.1
71,mama,5,MX,1546825500,68,20.48,-89.36,22,3.1
72,yumen,48,CN,1546826942,79,40.29,97.04,-12.07,1.16
73,bredasdorp,0,ZA,1546822800,82,-34.53,20.04,16,2.1
74,karpogory,92,RU,1546826943,83,64,44.44,-7.42,3.91
75,narsaq,88,GL,1546826943,83,60.91,-46.05,-8.12,1.11
76,candelaria,92,CO,1546826944,95,3.41,-76.35,14.53,0.76
77,hithadhoo,76,MV,1546826944,100,-0.6,73.08,25.76,1.66
78,ushtobe,0,KZ,1546826945,42,45.25,77.98,-21.32,1.26
79,sao joao da barra,8,BR,1546826903,98,-21.64,-41.05,26.18,12.76
80,ostrovnoy,92,RU,1546826946,95,68.05,39.51,0.78,8.46
81,castro,90,CL,1546822800,76,-42.48,-73.76,11,2.1
82,coquimbo,0,CL,1546822800,72,-29.95,-71.34,17,2.1
83,puerto ayora,44,EC,1546826738,99,-0.74,-90.35,24.91,5.91
84,paradwip,,,,,,,,
85,atuona,24,PF,1546826947,100,-9.8,-139.03,27.38,6.96
86,bjornevatn,0,NO,1546825800,84,69.67,29.98,0,12.3
87,klaksvik,88,FO,1546825800,80,62.23,-6.59,5,10.3
88,cherskiy,20,RU,1546826948,0,68.75,161.3,-38.22,0.76
89,araouane,36,ML,1546826949,36,18.9,-3.53,12.76,4.91
90,chuy,92,UY,1546826949,75,-33.69,-53.46,26.43,8.26
91,leningradskiy,8,RU,1546826950,84,69.38,178.42,-25.17,5.86
92,ntcheu,92,MW,1546826950,100,-14.82,34.64,18.88,0.51
93,kieta,36,PG,1546826951,99,-6.22,155.63,28.83,1.86
94,boa vista,0,BR,1546822800,61,2.82,-60.67,28,3.6
95,kozhva,80,RU,1546826952,72,65.11,57.05,-17.5,3.51
96,menongue,24,AO,1546826952,96,-14.66,17.68,17.51,2.36
97,husavik,92,CA,1546826952,91,50.56,-96.99,-4.02,9.71
98,egvekinot,0,RU,1546826953,0,66.32,-179.17,-39.35,1.16
99,vila velha,0,BR,1546822800,74,-3.71,-38.6,28,3.6
100,vaini,0,IN,1546822800,71,15.34,74.49,18,2.36
101,faanui,88,PF,1546826954,100,-16.48,-151.75,28.76,4.66
102,seoul,1,KR,1546826400,53,37.57,126.98,-2,1.5
103,galgani,,,,,,,,
104,toftir,,,,,,,,
105,bandarbeyla,0,SO,1546826955,100,9.49,50.81,24.68,7.16
106,laramie,1,US,1546825980,69,41.31,-105.59,2.4,1.5
107,cabo san lucas,90,MX,1546826220,94,22.89,-109.91,22,2.6
108,bilma,0,NE,1546826956,35,18.69,12.92,6.53,4.71
109,mar del plata,88,AR,1546826956,46,-46.43,-67.52,15.41,8.96
110,kavieng,80,PG,1546826957,96,-2.57,150.8,29.83,6.26
111,belushya guba,,,,,,,,
112,zhezkazgan,40,KZ,1546824600,84,47.8,67.71,-17,4
113,whitehorse,20,CA,1546822800,75,60.72,-135.06,-26,3.6
114,mantua,0,IT,1546825800,92,45.16,10.79,1,0.5
115,karangasem,64,ID,1546826961,100,-6.7,108.49,29.28,0.91
116,east london,0,ZA,1546826961,100,-33.02,27.91,20.41,4.21
117,bethel,90,US,1546825980,91,60.79,-161.76,-12,5.1
118,severo-kurilsk,48,RU,1546826962,100,50.68,156.12,-3.47,12.01
119,san juan del sur,8,NI,1546826963,83,11.25,-85.87,25.61,8.76
120,bud,48,NO,1546825800,86,62.91,6.91,5,4.6
121,cacule,0,BR,1546826963,93,-14.5,-42.22,20.38,2.86
122,vaitupu,,,,,,,,
123,kimbe,88,PG,1546826964,100,-5.56,150.15,26.43,5.36
124,dikson,44,RU,1546826964,99,73.51,80.55,-21.1,10.86
125,usoke,92,TZ,1546826965,100,-5.09,32.32,16.41,2.11
126,louisbourg,,,,,,,,
127,quatre cocos,75,MU,1546822800,88,-20.21,57.76,27,6.7
128,manicore,64,BR,1546826966,95,-5.81,-61.3,25.16,1.46
129,komsomolskiy,20,RU,1546826966,66,67.55,63.78,-16.6,2.76
130,bereda,0,ES,1546824600,81,43.27,-7.54,0,1.5
